序號,測站,監測日期,監測時間,測站氣壓(hPa),溫度(℃),相對溼度(%),風向,風速(m/s),降水量(mm),日照時數(小時)
1,臺北,2018/1/1,23:01:00,"1,018.30",18.2,75,東北東,3,0,-
2,臺北,2018/1/1,22:01:00,"1,018.30",17.8,78,東北,3.9,0,-
3,臺北,2018/1/1,21:01:00,"1,018",17.4,81,東北,3.2,0,-
4,臺北,2018/1/1,20:01:00,"1,017.90",17.2,80,東北,3.9,0,-
5,臺北,2018/1/1,19:01:00,"1,017.50",17.2,79,東北,4.1,0,0
6,臺北,2018/1/1,18:01:00,"1,017",17.1,77,東北東,3.9,0,0
7,臺北,2018/1/1,17:01:00,"1,016.60",17.5,73,東北,4.4,0,0
8,臺北,2018/1/1,16:01:00,"1,016.40",17.8,71,東北東,5.4,0,0
9,臺北,2018/1/1,15:01:00,"1,016.50",18.3,68,東北東,4.3,0,0
10,臺北,2018/1/1,14:01:00,"1,016.70",18.8,65,東北,6,0,0.4
11,臺北,2018/1/1,13:01:00,"1,017.30",18.9,65,東北,5.6,0,0.4
12,臺北,2018/1/1,12:01:00,"1,018.20",19,65,東北東,5.1,0,0.1
13,臺北,2018/1/1,11:01:00,"1,019.20",18.3,66,東北,5.3,0,0
14,臺北,2018/1/1,10:01:00,"1,020.10",17.9,68,東北東,4.2,0,0
15,臺北,2018/1/1,09:01:00,"1,020.20",17.2,67,東北東,4.1,0,0
16,臺北,2018/1/1,08:01:00,"1,019.70",16.9,67,東北東,4.5,0,0
17,臺北,2018/1/1,07:01:00,"1,019.70",16.2,71,東,2.5,0,0
18,臺北,2018/1/1,06:01:00,"1,019",15.9,72,東,2.2,0,0
19,臺北,2018/1/1,05:01:00,"1,018.70",16.2,70,東,2.9,0,-
20,臺北,2018/1/1,04:01:00,"1,018.70",16.2,70,東北東,3,0,-
21,臺北,2018/1/1,03:01:00,"1,018.80",16.1,69,東北東,2.5,0,-
22,臺北,2018/1/1,02:01:00,"1,018.90",16,69,東北東,2.8,0,-
23,臺北,2018/1/1,01:01:00,"1,019.30",15.9,71,東北,3.3,0,-
24,臺北,2018/1/1,00:01:00,"1,018.20",18.2,75,東北,4.3,0,-
25,臺北,2017/12/31,23:12:00,"1,020",15.6,74,東北,2.6,0,-
26,臺北,2017/12/31,22:12:00,"1,020.20",15.7,72,東北東,3.8,0,-
27,臺北,2017/12/31,21:12:00,"1,020.30",15.7,71,東北東,3.4,0,-
28,臺北,2017/12/31,20:12:00,"1,020.40",15.5,71,東,2.4,0,-
29,臺北,2017/12/31,19:12:00,"1,020.10",15.7,71,東北,3.4,0,0
30,臺北,2017/12/31,18:12:00,"1,019.90",15.6,72,東北東,2.6,0,0
31,臺北,2017/12/31,17:12:00,"1,019.40",15.2,75,東北,3.3,0,0
32,臺北,2017/12/31,16:12:00,"1,019.30",15,81,東北,3.9,0,0
33,臺北,2017/12/31,15:12:00,"1,019.10",15.3,80,東北東,3,0,0
34,臺北,2017/12/31,14:12:00,"1,019.40",15.3,80,東北,3.3,0,0
35,臺北,2017/12/31,13:12:00,"1,019.80",15.4,79,東北東,2.3,0,0
36,臺北,2017/12/31,12:12:00,"1,020.40",15.7,78,東北,3.2,0,0
37,臺北,2017/12/31,11:12:00,"1,021.20",15.9,80,東北,2.5,0,0
38,臺北,2017/12/31,10:12:00,"1,021.30",16,85,東北東,2.3,0,0
39,臺北,2017/12/31,09:12:00,"1,021.10",16.3,86,東北,2.9,0,0
40,臺北,2017/12/31,08:12:00,"1,020.30",16.4,85,東北,2.8,0,0
41,臺北,2017/12/31,07:12:00,"1,019.30",16.7,89,東北,3,0,0
42,臺北,2017/12/31,06:12:00,"1,018.80",16.4,94,東北東,1.1,0,0
43,臺北,2017/12/31,05:12:00,"1,018.30",16.4,93,東南,1.1,1,-
44,臺北,2017/12/31,04:12:00,"1,018.30",16.5,92,東,1.6,0,-
45,臺北,2017/12/31,03:12:00,"1,018.40",16.9,90,東北東,2,0,-
46,臺北,2017/12/31,02:12:00,"1,018.30",17,89,東北東,1.6,0,-
47,臺北,2017/12/31,01:12:00,"1,018.50",17.7,85,東,2.3,0,-
48,臺北,2017/12/31,00:12:00,"1,019.60",15.5,75,東北東,3.3,0,-
49,臺北,2017/12/30,23:12:00,"1,018.90",17.8,90,東北東,2,0,-
50,臺北,2017/12/30,22:12:00,"1,018.80",17.7,90,東,2.3,0,-
51,臺北,2017/12/30,21:12:00,"1,018.80",17.8,86,東,2.2,0,-
52,臺北,2017/12/30,20:12:00,"1,018.60",18.3,80,東北東,1.7,0,-
53,臺北,2017/12/30,19:12:00,"1,018.20",17.9,83,東,2.1,0,0
54,臺北,2017/12/30,18:12:00,"1,017.70",18.1,82,東北東,3,0,0
55,臺北,2017/12/30,17:12:00,"1,017.60",18.2,82,東北,2.9,0,0
56,臺北,2017/12/30,16:12:00,"1,016.80",18.6,80,東北東,4.4,0,0
57,臺北,2017/12/30,15:12:00,"1,015.80",19.3,79,東北,5.1,0,0.1
58,臺北,2017/12/30,14:12:00,"1,015.70",20.8,75,東北,4.7,0,0.7
59,臺北,2017/12/30,13:12:00,"1,016.40",20.2,77,東北東,4.2,0,0.8
60,臺北,2017/12/30,12:12:00,"1,017.90",18.8,85,東北東,4.3,0,0
61,臺北,2017/12/30,11:12:00,"1,019.30",18.2,89,東北,3,0,0
62,臺北,2017/12/30,10:12:00,"1,019.70",18,90,東北,3.9,0,0
63,臺北,2017/12/30,09:12:00,"1,020",17.7,92,東北,3.5,0,0
64,臺北,2017/12/30,08:12:00,"1,020",17.5,92,東北東,3.2,0,0
65,臺北,2017/12/30,07:12:00,"1,019.60",17.4,94,東北東,2,1,0
66,臺北,2017/12/30,06:12:00,"1,019.40",17.7,92,東北,2.2,0,0
67,臺北,2017/12/30,05:12:00,"1,018.90",17.7,93,東北東,1.2,0,-
68,臺北,2017/12/30,04:12:00,"1,018.60",17.7,91,東北,2.2,0,-
69,臺北,2017/12/30,03:12:00,"1,018.50",17.8,89,東北,2.9,0,-
70,臺北,2017/12/30,02:12:00,"1,018.80",17.9,89,東北,3.4,0,-
71,臺北,2017/12/30,01:12:00,"1,018.70",18.5,88,東北,3.7,0,-
72,臺北,2017/12/30,00:12:00,"1,018.40",17.7,86,東北東,1.9,0,-
73,臺北,2017/12/29,23:12:00,"1,018.40",18.8,88,東北,4.6,0,-
74,臺北,2017/12/29,22:12:00,"1,018.40",18.5,90,東北,3.6,1,-
75,臺北,2017/12/29,21:12:00,"1,018.20",18.8,90,東北,3.7,0,-
76,臺北,2017/12/29,20:12:00,"1,018.30",18.6,92,東北,3.8,1,-
77,臺北,2017/12/29,19:12:00,"1,018.20",18.4,92,東北東,4.3,2,0
78,臺北,2017/12/29,18:12:00,"1,018.20",18.4,90,東北,4,0,0
79,臺北,2017/12/29,17:12:00,"1,017.80",18.7,87,東北,5.4,0,0
80,臺北,2017/12/29,16:12:00,"1,017.10",19.9,81,東北,4.2,0,0
81,臺北,2017/12/29,15:12:00,"1,016.50",21.1,75,東北,6.2,0,0
82,臺北,2017/12/29,14:12:00,"1,016.70",21.4,74,東北,3.2,0,0
83,臺北,2017/12/29,13:12:00,"1,016.80",22.7,66,北北東,2.3,0,0.4
84,臺北,2017/12/29,12:12:00,"1,017.70",22.8,67,東,2.1,0,0.4
85,臺北,2017/12/29,11:12:00,"1,019.10",21.9,77,西南西,1.4,0,0.6
86,臺北,2017/12/29,10:12:00,"1,020.10",20.1,83,西南西,0.8,0,0
87,臺北,2017/12/29,09:12:00,"1,020.30",19.4,84,西南,1.8,0,0
88,臺北,2017/12/29,08:12:00,"1,019.90",18.9,87,西南西,1,0,0
