序號,測站氣壓(hPa),溫度(℃),相對溼度(%),風向,風速(m/s)
1,1018.3,18.2,75,4,3.0
2,1018.3,17.8,78,3,3.9
3,1018.0,17.4,81,3,3.2
4,1017.9,17.2,80,3,3.9
5,1017.5,17.2,79,3,4.1
6,1017.0,17.1,77,4,3.9
7,1016.6,17.5,73,3,4.4
8,1016.4,17.8,71,4,5.4
9,1016.5,18.3,68,4,4.3
10,1016.7,18.8,65,3,6.0
11,1017.3,18.9,65,3,5.6
12,1018.2,19.0,65,4,5.1
13,1019.2,18.3,66,3,5.3
14,1020.1,17.9,68,4,4.2
15,1020.2,17.2,67,4,4.1
16,1019.7,16.9,67,4,4.5
17,1019.7,16.2,71,5,2.5
18,1019.0,15.9,72,5,2.2
19,1018.7,16.2,70,5,2.9
20,1018.7,16.2,70,4,3.0
21,1018.8,16.1,69,4,2.5
22,1018.9,16.0,69,4,2.8
23,1019.3,15.9,71,3,3.3
24,1018.2,18.2,75,3,4.3
25,1020.0,15.6,74,3,2.6
26,1020.2,15.7,72,4,3.8
27,1020.3,15.7,71,4,3.4
28,1020.4,15.5,71,5,2.4
29,1020.1,15.7,71,3,3.4
30,1019.9,15.6,72,4,2.6
31,1019.4,15.2,75,3,3.3
32,1019.3,15.0,81,3,3.9
33,1019.1,15.3,80,4,3.0
34,1019.4,15.3,80,3,3.3
35,1019.8,15.4,79,4,2.3
36,1020.4,15.7,78,3,3.2
37,1021.2,15.9,80,3,2.5
38,1021.3,16.0,85,4,2.3
39,1021.1,16.3,86,3,2.9
40,1020.3,16.4,85,3,2.8
41,1019.3,16.7,89,3,3.0
42,1018.8,16.4,94,4,1.1
43,1018.3,16.4,93,7,1.1
44,1018.3,16.5,92,5,1.6
45,1018.4,16.9,90,4,2.0
46,1018.3,17.0,89,4,1.6
47,1018.5,17.7,85,5,2.3
48,1019.6,15.5,75,4,3.3
49,1018.9,17.8,90,4,2.0
50,1018.8,17.7,90,5,2.3
51,1018.8,17.8,86,5,2.2
52,1018.6,18.3,80,4,1.7
53,1018.2,17.9,83,5,2.1
54,1017.7,18.1,82,4,3.0
55,1017.6,18.2,82,3,2.9
56,1016.8,18.6,80,4,4.4
57,1015.8,19.3,79,3,5.1
58,1015.7,20.8,75,3,4.7
59,1016.4,20.2,77,4,4.2
60,1017.9,18.8,85,4,4.3
61,1019.3,18.2,89,3,3.0
62,1019.7,18.0,90,3,3.9
63,1020.0,17.7,92,3,3.5
64,1020.0,17.5,92,4,3.2
65,1019.6,17.4,94,4,2.0
66,1019.4,17.7,92,3,2.2
67,1018.9,17.7,93,4,1.2
68,1018.6,17.7,91,3,2.2
69,1018.5,17.8,89,3,2.9
70,1018.8,17.9,89,3,3.4
71,1018.7,18.5,88,3,3.7
72,1018.4,17.7,86,4,1.9
73,1018.4,18.8,88,3,4.6
74,1018.4,18.5,90,3,3.6
75,1018.2,18.8,90,3,3.7
76,1018.3,18.6,92,3,3.8
77,1018.2,18.4,92,4,4.3
78,1018.2,18.4,90,3,4.0
79,1017.8,18.7,87,3,5.4
80,1017.1,19.9,81,3,4.2
81,1016.5,21.1,75,3,6.2
82,1016.7,21.4,74,3,3.2
83,1016.8,22.7,66,2,2.3
84,1017.7,22.8,67,5,2.1
85,1019.1,21.9,77,12,1.4
86,1020.1,20.1,83,12,0.8
87,1020.3,19.4,84,11,1.8
88,1019.9,18.9,87,12,1.0
89,1019.3,18.6,87,12,0.6
90,1018.4,18.7,89,9,0.5
91,1017.5,18.5,89,9,0.3
92,1017.0,18.6,90,7,1.3
93,1016.9,18.3,92,5,0.8
94,1016.9,18.4,93,1,0.9
95,1016.9,18.7,90,5,1.9
96,1018.5,18.9,87,3,4.6
97,1017.3,19.9,80,3,2.0
98,1017.2,20.3,75,3,3.6
99,1016.8,20.8,73,3,2.7
100,1016.7,20.9,72,3,2.6
101,1016.1,21.5,65,4,2.6
102,1015.6,21.7,63,4,2.8
103,1015.4,21.9,62,3,2.9
104,1014.7,22.2,60,4,2.6
105,1014.4,22.1,61,5,3.1
106,1014.4,22.8,59,5,3.4
107,1014.6,23.4,58,5,3.4
108,1015.6,23.2,58,4,4.7
109,1016.1,22.9,60,4,4.9
110,1017.1,22.2,63,5,3.0
111,1018.2,21.2,66,3,4.9
112,1018.2,19.6,70,3,3.4
113,1017.4,18.6,73,3,2.6
114,1016.7,18.5,72,3,2.7
115,1017.0,18.5,71,3,3.9
116,1017.2,18.6,71,3,4.2
117,1017.4,19.1,68,4,3.1
118,1017.9,18.9,69,3,4.0
119,1018.3,19.1,69,3,3.2
120,1017.2,18.8,88,5,2.0
121,1018.6,19.3,70,4,2.5
122,1018.9,19.4,66,5,3.4
123,1018.8,19.3,65,4,3.4
124,1018.6,19.2,65,3,3.4
125,1018.0,19.3,65,3,3.7
126,1017.6,19.2,64,3,4.1
127,1017.3,19.5,63,4,4.1
128,1016.9,20.0,61,4,4.4
129,1016.6,20.3,58,4,5.9
130,1016.4,20.1,62,3,6.0
131,1017.7,20.1,63,4,3.2
132,1018.8,19.1,64,4,4.9
133,1019.9,19.1,64,4,4.3
134,1020.6,18.7,65,4,4.7
135,1021.0,18.5,64,5,5.0
136,1020.1,17.9,65,4,4.5
137,1020.1,17.3,69,4,4.6
138,1019.9,17.6,66,5,3.6
139,1019.6,17.7,64,4,4.2
140,1019.3,17.8,67,4,4.6
141,1019.3,17.8,65,4,4.3
142,1018.9,18.0,64,4,4.9
143,1019.6,18.0,64,5,4.8
144,1018.3,19.1,69,4,2.9
145,1019.8,17.8,67,4,4.0
146,1019.9,18.1,67,4,5.0
147,1019.4,18.5,64,3,4.4
148,1019.3,18.6,65,4,4.1
149,1019.1,18.6,67,3,5.6
150,1018.6,18.5,67,4,3.7
151,1017.9,18.7,65,3,6.3
152,1017.4,19.1,64,4,4.2
153,1016.7,19.5,63,3,6.3
154,1016.3,20.3,60,3,5.8
155,1017.1,20.2,63,3,5.1
156,1018.2,20.3,64,3,4.4
157,1019.2,19.4,67,4,3.7
158,1019.9,19.0,66,4,3.9
159,1020.2,18.4,68,4,4.1
160,1019.9,18.2,67,5,2.8
161,1019.2,18.1,66,4,3.8
162,1018.8,18.0,66,3,4.1
163,1017.8,17.9,66,3,3.5
164,1017.4,17.9,65,3,4.8
165,1017.3,17.9,65,3,4.3
166,1017.2,17.6,65,3,4.3
167,1017.3,17.5,65,3,4.5
168,1019.6,17.9,66,4,4.9
169,1017.8,17.6,60,3,4.3
170,1018.2,17.6,63,4,3.8
171,1018.5,17.7,63,5,3.6
172,1018.6,17.7,64,4,4.1
173,1018.6,17.1,64,5,3.8
174,1018.3,17.1,62,4,4.6
175,1017.8,17.1,60,4,4.4
176,1017.5,17.6,58,3,5.1
177,1017.3,18.1,55,3,5.1
178,1017.4,17.4,55,3,6.7
179,1017.9,17.2,54,3,4.4
180,1019.3,16.7,58,3,4.7
181,1020.2,16.8,58,3,4.6
182,1021.0,17.1,56,3,3.9
183,1021.2,16.3,55,3,5.0
184,1020.8,16.1,54,3,3.9
185,1020.5,16.1,56,3,3.8
186,1020.1,16.1,54,3,4.1
187,1019.4,16.4,51,2,4.0
188,1019.0,16.8,55,3,4.5
189,1018.5,17.2,55,3,3.8
190,1018.3,17.5,56,3,4.1
191,1018.5,17.8,57,3,4.3
192,1017.3,17.7,62,3,5.1
193,1018.0,18.4,60,3,3.8
194,1017.7,18.8,62,3,5.3
195,1017.1,19.0,63,3,4.0
196,1017.0,19.1,65,3,3.5
197,1016.2,19.4,63,3,3.5
198,1015.6,19.7,65,3,3.0
199,1014.5,19.8,67,4,3.2
200,1013.9,20.7,71,5,2.6
201,1013.1,21.8,67,12,0.9
202,1013.0,23.6,57,13,2.0
203,1013.6,22.0,63,15,2.0
204,1014.3,22.2,69,12,1.2
205,1015.1,21.0,73,12,1.5
206,1015.7,19.8,74,12,1.9
207,1015.8,19.1,78,13,0.8
208,1015.3,18.4,80,12,1.5
209,1014.6,17.6,83,11,0.9
210,1013.7,17.3,83,11,2.0
211,1013.0,16.8,81,10,1.1
212,1012.5,17.0,80,10,1.4
213,1012.5,17.3,80,9,0.9
214,1012.5,17.7,79,10,1.1
215,1012.3,18.0,78,8,1.0
216,1018.1,18.2,58,3,4.1
217,1012.5,18.9,76,9,0.9
218,1012.5,19.4,74,9,1.3
219,1012.2,19.8,71,17,0.1
220,1012.1,20.6,68,11,0.5
221,1011.7,21.1,66,12,0.5
222,1011.5,22.4,61,5,1.9
223,1011.1,23.2,58,6,2.5
224,1010.5,23.9,56,6,2.5
225,1009.8,25.2,54,6,2.4
226,1009.8,25.9,51,5,3.9
227,1010.6,26.2,47,5,2.9
228,1011.8,25.9,48,5,3.7
229,1012.8,25.6,51,4,3.2
230,1013.6,24.1,59,3,3.2
231,1014.3,22.6,66,3,3.4
232,1014.5,18.7,71,4,0.6
233,1014.6,16.9,74,3,0.9
234,1014.6,18.2,70,9,1.6
235,1014.0,18.4,72,11,0.5
236,1013.7,19.7,67,5,0.9
237,1013.6,20.5,63,3,2.7
