,ObsTimeMonth,ObsTimeDay,StnPres,Temperature,T Max,T Max Time,T Min,T Min Time,RH,WS,WD,Precp,SunShine,latitude,altitude
0,1,1,1017.6,16.4,20.2,2010-01-01 13:13,13.3,2010-01-01 00:01,72,2.7,80,0.0,2.7,24.9976,9.7
1,1,2,1016.0,16.6,19.6,2010-01-02 13:28,14.9,2010-01-02 23:56,83,0.2,250,9.5,0.0,24.9976,9.7
2,1,3,1016.2,15.6,18.6,2010-01-03 12:43,13.9,2010-01-03 06:51,82,1.6,80,8.5,0.1,24.9976,9.7
3,1,4,1014.8,17.0,22.0,2010-01-04 13:42,13.1,2010-01-04 05:22,78,0.9,210,0.0,6.4,24.9976,9.7
4,1,5,1018.2,15.0,17.8,2010-01-05 01:18,13.6,2010-01-05 18:50,79,4.6,80,0.7,0.5,24.9976,9.7
5,1,6,1019.6,14.5,15.1,2010-01-06 02:26,13.8,2010-01-06 23:52,83,3.5,80,5.6,0.0,24.9976,9.7
6,1,7,1021.2,13.6,14.1,2010-01-07 21:43,13.1,2010-01-07 06:48,85,3.6,80,20.5,0.0,24.9976,9.7
7,1,8,1019.8,13.5,14.7,2010-01-08 22:45,13.1,2010-01-08 03:44,86,1.8,80,26.0,0.0,24.9976,9.7
8,1,9,1017.6,18.0,23.8,2010-01-09 13:20,14.7,2010-01-09 00:01,77,2.2,80,0.0,7.2,24.9976,9.7
9,1,10,1017.1,18.4,26.3,2010-01-10 13:07,15.3,2010-01-10 07:27,78,0.8,290,0.5,7.2,24.9976,9.7
10,1,11,1017.2,16.1,18.4,2010-01-11 10:53,12.7,2010-01-11 23:52,80,1.0,10,7.0,0.4,24.9976,9.7
11,1,12,1022.9,9.9,12.8,2010-01-12 00:04,7.1,2010-01-12 23:38,80,1.7,10,11.0,0.0,24.9976,9.7
12,1,13,1028.2,10.7,16.0,2010-01-13 13:43,6.1,2010-01-13 04:48,63,2.2,80,0.0,10.0,24.9976,9.7
13,1,14,1026.6,13.6,19.2,2010-01-14 14:23,8.3,2010-01-14 00:41,60,3.6,80,0.0,9.9,24.9976,9.7
14,1,15,1024.1,16.9,22.9,2010-01-15 14:01,11.1,2010-01-15 04:18,61,2.4,80,0.0,9.7,24.9976,9.7
15,1,16,1025.3,16.9,19.0,2010-01-16 09:18,16.2,2010-01-16 18:54,74,3.6,80,0.0,2.4,24.9976,9.7
16,1,17,1025.6,17.1,18.8,2010-01-17 12:17,16.2,2010-01-17 01:23,73,3.8,80,0.0,0.0,24.9976,9.7
17,1,18,1022.3,19.9,25.2,2010-01-18 13:39,16.3,2010-01-18 06:37,66,3.3,70,0.0,10.0,24.9976,9.7
18,1,19,1019.8,20.8,27.7,2010-01-19 13:14,13.4,2010-01-19 06:21,64,1.9,80,0.0,9.9,24.9976,9.7
19,1,20,1019.2,21.4,28.2,2010-01-20 13:01,15.7,2010-01-20 06:36,70,0.5,210,0.0,7.1,24.9976,9.7
20,1,21,1019.6,20.4,27.4,2010-01-21 12:56,15.8,2010-01-21 23:04,73,2.3,90,T,4.4,24.9976,9.7
21,1,22,1024.2,15.0,15.9,2010-01-22 11:42,14.0,2010-01-22 22:33,83,4.2,80,6.5,0.0,24.9976,9.7
22,1,23,1023.4,14.5,15.1,2010-01-23 11:25,13.5,2010-01-23 06:29,84,4.1,80,2.1,0.0,24.9976,9.7
23,1,24,1020.0,17.7,21.1,2010-01-24 13:58,15.0,2010-01-24 00:01,86,1.3,70,4.6,0.2,24.9976,9.7
24,1,25,1022.7,15.5,18.1,2010-01-25 10:26,13.2,2010-01-25 23:14,86,2.1,90,18.0,0.0,24.9976,9.7
25,1,26,1024.0,16.0,18.9,2010-01-26 14:09,13.5,2010-01-26 00:01,73,4.8,90,0.0,2.2,24.9976,9.7
26,1,27,1018.1,19.4,24.2,2010-01-27 11:43,14.3,2010-01-27 05:59,76,0.9,210,0.0,7.7,24.9976,9.7
27,1,28,1017.3,19.0,22.1,2010-01-28 11:45,17.4,2010-01-28 06:45,82,0.7,70,1.0,0.2,24.9976,9.7
28,1,29,1019.0,19.1,21.9,2010-01-29 13:52,17.0,2010-01-29 07:17,75,4.0,80,0.0,2.5,24.9976,9.7
29,1,30,1017.0,19.0,26.1,2010-01-30 14:19,15.5,2010-01-30 06:37,79,1.0,250,0.0,7.5,24.9976,9.7
30,1,31,1015.0,20.8,26.8,2010-01-31 13:02,16.0,2010-01-31 06:24,77,0.7,270,0.0,9.3,24.9976,9.7
31,2,1,1015.1,18.5,22.1,2010-02-01 10:16,15.9,2010-02-01 23:41,81,2.3,80,0.0,0.8,24.9976,9.7
32,2,2,1015.7,18.2,21.6,2010-02-02 13:00,16.0,2010-02-02 00:01,78,2.8,70,0.0,5.2,24.9976,9.7
33,2,3,1017.4,17.1,19.0,2010-02-03 13:01,15.4,2010-02-03 07:32,83,1.9,70,1.6,0.2,24.9976,9.7
34,2,4,1017.4,17.3,20.1,2010-02-04 13:55,15.7,2010-02-04 06:58,86,0.8,100,1.6,0.0,24.9976,9.7
35,2,5,1017.6,17.5,21.5,2010-02-05 12:41,16.0,2010-02-05 04:34,85,0.6,330,0.2,0.3,24.9976,9.7
36,2,6,1017.3,17.7,19.3,2010-02-06 13:49,16.8,2010-02-06 08:12,89,0.6,250,8.1,0.0,24.9976,9.7
37,2,7,1017.3,17.2,18.7,2010-02-07 15:19,15.9,2010-02-07 06:33,87,0.7,300,8.0,0.0,24.9976,9.7
